LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
